row_id,mechanisms
233078,Area-Impulse
233078,Dice Rolling
233078,Follow
233078,Grid Movement
233078,Hexagon Grid
233078,Increase Value of Unchosen Resources
233078,King of the Hill
233078,Modular Board
233078,Movement Points
233078,Race
233078,Tech Trees / Tech Tracks
233078,Trading
233078,Variable Phase Order
233078,Variable Player Powers
233078,Variable Set-up
233078,Voting
115746,Area Majority / Influence
115746,Area Movement
115746,Campaign / Battle Card Driven
115746,Card Play Conflict Resolution
115746,Dice Rolling
115746,Events
115746,Hand Management
115746,Movement Points
115746,Team-Based Game
115746,Variable Player Powers
115746,Variable Set-up
167791,Closed Drafting
167791,Contracts
167791,End Game Bonuses
167791,Hand Management
167791,Hexagon Grid
167791,Income
167791,Solo / Solitaire Game
167791,Tags
167791,Take That
167791,Tile Placement
167791,Turn Order: Progressive
167791,Variable Player Powers
167791,Variable Set-up
187645,Area Majority / Influence
187645,Area Movement
187645,Card Play Conflict Resolution
187645,Contracts
187645,Delayed Purchase
187645,Dice Rolling
187645,Die Icon Resolution
187645,Events
187645,Hand Management
187645,Hidden Movement
187645,Income
187645,Once-Per-Game Abilities
187645,Tags
187645,Take That
187645,Team-Based Game
187645,Variable Player Powers
187645,Variable Set-up
187645,"Worker Placement, Different Worker Types"
162886,Action Retrieval
162886,Area Majority / Influence
162886,Automatic Resource Growth
162886,Campaign / Battle Card Driven
162886,Cooperative Game
162886,"Deck, Bag, and Pool Building"
162886,Hand Management
162886,Modular Board
162886,Simultaneous Action Selection
162886,Solo / Solitaire Game
162886,Tags
162886,Variable Player Powers
162886,Variable Set-up
291457,Action Queue
291457,Action Retrieval
291457,Campaign / Battle Card Driven
291457,Communication Limits
291457,Cooperative Game
291457,Critical Hits and Failures
291457,Deck Construction
291457,Grid Movement
291457,Hand Management
291457,Hexagon Grid
291457,Line of Sight
291457,Multi-Use Cards
291457,Once-Per-Game Abilities
291457,Player Elimination
291457,Role Playing
291457,Scenario / Mission / Campaign Game
291457,Simultaneous Action Selection
291457,Solo / Solitaire Game
291457,Variable Player Powers
220308,End Game Bonuses
220308,Hexagon Grid
220308,Income
220308,Modular Board
220308,Network and Route Building
220308,Solo / Solitaire Game
220308,Tags
220308,Tech Trees / Tech Tracks
220308,Turn Order: Pass Order
220308,Variable Player Powers
220308,Variable Set-up
220308,Victory Points as a Resource
12333,Action / Event
12333,Advantage Token
12333,Area Majority / Influence
12333,Campaign / Battle Card Driven
12333,Dice Rolling
12333,Events
12333,Hand Management
12333,Simulation
12333,Simultaneous Action Selection
12333,Stat Check Resolution
12333,Sudden Death Ending
12333,Tug of War
12333,Variable Player Powers
12333,Variable Set-up
84876,Delayed Purchase
84876,Dice Rolling
84876,End Game Bonuses
84876,Grid Coverage
84876,Hexagon Grid
84876,Open Drafting
84876,Pattern Building
84876,Tile Placement
84876,Track Movement
84876,Turn Order: Stat-Based
84876,Variable Set-up
84876,Worker Placement with Dice Workers
418059,Area Majority / Influence
418059,End Game Bonuses
418059,Income
418059,Multi-Use Cards
418059,Resource to Move
418059,Solo / Solitaire Game
418059,Turn Order: Progressive
418059,Variable Set-up
338960,Cooperative Game
338960,"Deck, Bag, and Pool Building"
338960,Dice Rolling
338960,Hand Management
338960,Simultaneous Action Selection
338960,Solo / Solitaire Game
182028,Action Points
182028,Auction / Bidding
182028,Auction: Dutch
182028,Events
182028,Income
182028,Open Drafting
182028,Player Elimination
182028,Tags
182028,Take That
421006,Area Majority / Influence
421006,Hand Management
421006,Income
421006,Layering
421006,Market
421006,Modular Board
421006,Multi-Use Cards
421006,Once-Per-Game Abilities
421006,Open Drafting
421006,Point to Point Movement
421006,Race
421006,Relative Movement
421006,Set Collection
421006,Sudden Death Ending
421006,Tags
421006,Take That
421006,Tech Trees / Tech Tracks
421006,Variable Player Powers
421006,Variable Set-up
193738,"Deck, Bag, and Pool Building"
193738,Hand Management
193738,Ownership
193738,Set Collection
193738,Track Movement
193738,Variable Set-up
295770,Campaign / Battle Card Driven
295770,Communication Limits
295770,Cooperative Game
295770,Deck Construction
295770,"Deck, Bag, and Pool Building"
295770,Grid Movement
295770,Hand Management
295770,Hexagon Grid
295770,Legacy Game
295770,Modular Board
295770,Multi-Use Cards
295770,Narrative Choice / Paragraph
295770,Once-Per-Game Abilities
295770,Scenario / Mission / Campaign Game
295770,Simultaneous Action Selection
295770,Solo / Solitaire Game
295770,Variable Player Powers
28720,Chaining
28720,End Game Bonuses
28720,Hand Management
28720,Income
28720,Loans
28720,Market
28720,Multi-Use Cards
28720,Network and Route Building
28720,Ownership
28720,Tags
28720,Tech Trees / Tech Tracks
28720,Tile Placement
28720,Turn Order: Stat-Based
28720,Variable Set-up
246900,Alliances
246900,Area Majority / Influence
246900,Area-Impulse
246900,Dice Rolling
246900,Grid Movement
246900,Hexagon Grid
246900,Hidden Victory Points
246900,Hot Potato
246900,Income
246900,Modular Board
246900,Passed Action Token
246900,Tech Trees / Tech Tracks
246900,Variable Player Powers
173346,End Game Bonuses
173346,Income
173346,Melding and Splaying
173346,Modular Board
173346,Multi-Use Cards
173346,Once-Per-Game Abilities
173346,Open Drafting
173346,Score-and-Reset Game
173346,Set Collection
173346,Sudden Death Ending
173346,Tags
173346,Tech Trees / Tech Tracks
173346,Track Movement
173346,Tug of War
173346,Variable Set-up
167355,Campaign / Battle Card Driven
167355,Cooperative Game
167355,Dice Rolling
167355,Hand Management
167355,Hidden Roles
167355,Interrupts
167355,Modular Board
167355,Player Elimination
167355,Semi-Cooperative Game
167355,Solo / Solitaire Game
167355,Team-Based Game
167355,Traitor Game
167355,Variable Player Powers
169786,Area Majority / Influence
169786,Card Play Conflict Resolution
169786,Contracts
169786,End Game Bonuses
169786,Force Commitment
169786,Grid Movement
169786,Hexagon Grid
169786,King of the Hill
169786,Movement Points
169786,Narrative Choice / Paragraph
169786,Solo / Solitaire Game
169786,Take That
169786,Tech Trees / Tech Tracks
169786,Variable Player Powers
169786,Variable Set-up
169786,Victory Points as a Resource
169786,Zone of Control
177736,Action Points
177736,Automatic Resource Growth
177736,Dice Rolling
177736,Enclosure
177736,Grid Coverage
177736,Hand Management
177736,Income
177736,Layering
177736,Pattern Recognition
177736,Push Your Luck
177736,Solo / Solitaire Game
177736,Square Grid
177736,Tile Placement
177736,Turn Order: Pass Order
177736,Worker Placement
266507,"Deck, Bag, and Pool Building"
266507,Delayed Purchase
266507,End Game Bonuses
266507,Events
266507,Legacy Game
266507,Map Addition
266507,Movement Points
266507,Narrative Choice / Paragraph
266507,Once-Per-Game Abilities
266507,Open Drafting
266507,Pick-up and Deliver
266507,Player Elimination
266507,Point to Point Movement
266507,Push Your Luck
266507,Scenario / Mission / Campaign Game
266507,Set Collection
266507,Variable Player Powers
266507,Variable Set-up
124361,Action Retrieval
124361,Advantage Token
124361,Auction: Dutch
124361,"Deck, Bag, and Pool Building"
124361,End Game Bonuses
124361,Hand Management
124361,Hidden Victory Points
124361,Investment
124361,Movement Points
124361,Network and Route Building
124361,Open Drafting
124361,Point to Point Movement
124361,Set Collection
124361,Variable Set-up
312484,Area Movement
312484,Contracts
312484,"Deck, Bag, and Pool Building"
312484,Delayed Purchase
312484,End Game Bonuses
312484,Hand Management
312484,Multi-Use Cards
312484,Once-Per-Game Abilities
312484,Open Drafting
312484,Resource to Move
312484,Solo / Solitaire Game
312484,Track Movement
312484,Turn Order: Progressive
312484,Worker Placement
341169,"Deck, Bag, and Pool Building"
341169,Hand Management
341169,Ownership
341169,Set Collection
341169,Solo / Solitaire Game
341169,Tags
341169,Track Movement
341169,Variable Set-up
205637,Action Points
205637,Area Movement
205637,Communication Limits
205637,Cooperative Game
205637,Deck Construction
205637,Events
205637,Hand Management
205637,Map Deformation
205637,Modular Board
205637,Player Elimination
205637,Push Your Luck
205637,Role Playing
205637,Scenario / Mission / Campaign Game
205637,Solo / Solitaire Game
205637,Stat Check Resolution
205637,Variable Player Powers
373106,Communication Limits
373106,Cooperative Game
373106,Dice Rolling
373106,Scenario / Mission / Campaign Game
373106,Turn Order: Progressive
373106,Variable Player Powers
373106,Variable Set-up
373106,Worker Placement with Dice Workers
237182,Action Points
237182,Action Queue
237182,Action Retrieval
237182,Area Majority / Influence
237182,Area Movement
237182,Dice Rolling
237182,Hand Management
237182,Multi-Use Cards
237182,Negotiation
237182,Point to Point Movement
237182,Race
237182,Sudden Death Ending
237182,Take That
237182,Variable Player Powers
237182,Variable Set-up
120677,Chaining
120677,End Game Bonuses
120677,Hexagon Grid
120677,Income
120677,Increase Value of Unchosen Resources
120677,Network and Route Building
120677,Tech Trees / Tech Tracks
120677,Turn Order: Pass Order
120677,Variable Player Powers
120677,Variable Set-up
120677,Victory Points as a Resource
164928,Contracts
164928,"Deck, Bag, and Pool Building"
164928,End Game Bonuses
164928,Events
164928,Kill Steal
164928,Point to Point Movement
164928,Simultaneous Action Selection
164928,Tech Trees / Tech Tracks
164928,Turn Order: Progressive
164928,Variable Set-up
164928,"Worker Placement, Different Worker Types"
192135,Cooperative Game
192135,Dice Rolling
192135,Die Icon Resolution
192135,Grid Movement
192135,Narrative Choice / Paragraph
192135,Resource to Move
192135,Role Playing
192135,Scenario / Mission / Campaign Game
192135,Solo / Solitaire Game
192135,Square Grid
192135,Stat Check Resolution
192135,Tech Trees / Tech Tracks
192135,Turn Order: Role Order
192135,Variable Player Powers
266192,Action Queue
266192,Dice Rolling
266192,End Game Bonuses
266192,Hand Management
266192,Once-Per-Game Abilities
266192,Open Drafting
266192,Set Collection
266192,Solo / Solitaire Game
266192,Turn Order: Progressive
96848,Card Play Conflict Resolution
96848,Cooperative Game
96848,"Deck, Bag, and Pool Building"
96848,Dice Rolling
96848,Grid Movement
96848,Hand Management
96848,Hexagon Grid
96848,Modular Board
96848,Multi-Use Cards
96848,Open Drafting
96848,Role Playing
96848,Scenario / Mission / Campaign Game
96848,Solo / Solitaire Game
96848,Tags
96848,Turn Order: Claim Action
96848,Variable Player Powers
251247,Contracts
251247,End Game Bonuses
251247,Income
251247,Network and Route Building
251247,Ownership
251247,Solo / Solitaire Game
251247,Turn Order: Stat-Based
251247,Variable Player Powers
251247,Variable Set-up
251247,Worker Placement
321608,Action / Event
321608,Hand Management
321608,Simulation
321608,Variable Player Powers
321608,Voting
321608,"Worker Placement, Different Worker Types"
199792,Contracts
199792,End Game Bonuses
199792,Hand Management
199792,Income
199792,Open Drafting
199792,Ownership
199792,Set Collection
199792,Solo / Solitaire Game
199792,Tags
199792,Variable Set-up
199792,Worker Placement
324856,Communication Limits
324856,Cooperative Game
324856,Deduction
324856,Hand Management
324856,Scenario / Mission / Campaign Game
324856,Trick-taking
183394,Contracts
183394,Hand Management
183394,Race
183394,Solo / Solitaire Game
183394,Turn Order: Auction
183394,Victory Points as a Resource
183394,Worker Placement
183394,"Worker Placement, Different Worker Types"
284378,Action Points
284378,Hand Management
284378,Variable Phase Order
284378,Worker Placement
521,Flicking
521,Team-Based Game
366013,Catch the Leader
366013,"Deck, Bag, and Pool Building"
366013,Hand Management
366013,Programmed Movement
366013,Push Your Luck
366013,Race
366013,Simulation
366013,Simultaneous Action Selection
366013,Solo / Solitaire Game
366013,Track Movement
366013,Variable Set-up
285774,Card Play Conflict Resolution
285774,Cooperative Game
285774,Deck Construction
285774,Events
285774,Hand Management
285774,Interrupts
285774,Scenario / Mission / Campaign Game
285774,Solo / Solitaire Game
285774,Turn Order: Progressive
285774,Variable Player Powers
285774,Variable Set-up
175914,Delayed Purchase
175914,Income
175914,Market
175914,Modular Board
175914,Open Drafting
175914,Simultaneous Action Selection
175914,Tech Trees / Tech Tracks
175914,Victory Points as a Resource
390092,Connections
390092,Contracts
390092,End Game Bonuses
390092,Hand Management
390092,Legacy Game
390092,Network and Route Building
390092,Open Drafting
390092,Push Your Luck
390092,Set Collection
247763,End Game Bonuses
247763,Hand Management
247763,Income
247763,Network and Route Building
247763,Solo / Solitaire Game
247763,Turn Order: Claim Action
247763,Turn Order: Stat-Based
247763,Worker Placement
365717,"Deck, Bag, and Pool Building"
365717,Delayed Purchase
365717,End Game Bonuses
365717,Map Addition
365717,Map Deformation
365717,Modular Board
365717,Movement Points
365717,Open Drafting
365717,Player Elimination
365717,Point to Point Movement
365717,Push Your Luck
365717,Tile Placement
365717,Variable Set-up
256960,Action Points
256960,Area Majority / Influence
256960,Area Movement
256960,Auction: Dutch
256960,Bribery
256960,Hand Management
256960,Increase Value of Unchosen Resources
256960,Negotiation
256960,Open Drafting
256960,Score-and-Reset Game
256960,Simulation
256960,Solo / Solitaire Game
256960,Tags
256960,Take That
253344,Action Points
253344,Area Movement
253344,Cooperative Game
253344,Dice Rolling
253344,Role Playing
253344,Scenario / Mission / Campaign Game
253344,Solo / Solitaire Game
253344,Variable Player Powers
414317,Chaining
414317,Hexagon Grid
414317,Open Drafting
414317,Pattern Building
414317,Set Collection
414317,Solo / Solitaire Game
414317,Tile Placement
414317,Variable Player Powers
383179,Contracts
383179,End Game Bonuses
383179,Hexagon Grid
383179,Income
383179,Modular Board
383179,Network and Route Building
383179,Tech Trees / Tech Tracks
383179,Turn Order: Pass Order
383179,Variable Player Powers
383179,Variable Set-up
383179,Victory Points as a Resource
3076,Action Drafting
3076,End Game Bonuses
3076,Follow
3076,Hidden Victory Points
3076,Increase Value of Unchosen Resources
3076,Turn Order: Progressive
3076,Variable Phase Order
184267,Contracts
184267,Delayed Purchase
184267,End Game Bonuses
184267,Hexagon Grid
184267,Income
184267,Movement Points
184267,Set Collection
184267,Solo / Solitaire Game
184267,Tech Trees / Tech Tracks
184267,Tile Placement
184267,Variable Phase Order
184267,Worker Placement
295947,End Game Bonuses
295947,Hexagon Grid
295947,Open Drafting
295947,Pattern Building
295947,Solo / Solitaire Game
295947,Tile Placement
295947,Variable Set-up
314040,Action Points
314040,Cooperative Game
314040,Hand Management
314040,Legacy Game
314040,Point to Point Movement
314040,Scenario / Mission / Campaign Game
314040,Set Collection
314040,Tags
314040,Trading
314040,Variable Player Powers
185343,Contracts
185343,Dice Rolling
185343,Die Icon Resolution
185343,End Game Bonuses
185343,Events
185343,Map Reduction
185343,Open Drafting
185343,Set Collection
185343,Solo / Solitaire Game
185343,Turn Order: Claim Action
185343,Variable Player Powers
185343,Variable Set-up
185343,Worker Placement
185343,"Worker Placement, Different Worker Types"
102794,Automatic Resource Growth
102794,Increase Value of Unchosen Resources
102794,Solo / Solitaire Game
102794,Tile Placement
102794,Turn Order: Claim Action
102794,Worker Placement
251661,Action Points
251661,Card Play Conflict Resolution
251661,Cooperative Game
251661,"Deck, Bag, and Pool Building"
251661,Dice Rolling
251661,Hand Management
251661,Hexagon Grid
251661,Modular Board
251661,Pattern Recognition
251661,Push Your Luck
251661,Role Playing
251661,Scenario / Mission / Campaign Game
251661,Storytelling
251661,Variable Player Powers
31260,Automatic Resource Growth
31260,Closed Drafting
31260,Enclosure
31260,Increase Value of Unchosen Resources
31260,Solo / Solitaire Game
31260,Turn Order: Claim Action
31260,Worker Placement
170216,Action Points
170216,Area Majority / Influence
170216,Area Movement
170216,Card Play Conflict Resolution
170216,Closed Drafting
170216,Contracts
170216,Hand Management
170216,Interrupts
170216,Map Reduction
170216,Memory
170216,Simultaneous Action Selection
170216,Take That
170216,Turn Order: Progressive
231733,Action Retrieval
231733,Closed Drafting
231733,"Deck, Bag, and Pool Building"
231733,Hand Management
231733,Solo / Solitaire Game
231733,Worker Placement
240980,Betting and Bluffing
240980,Deduction
240980,Hidden Roles
240980,Negotiation
240980,Prisoner's Dilemma
240980,Rock-Paper-Scissors
240980,Roles with Asymmetric Information
240980,Team-Based Game
240980,Traitor Game
240980,Variable Player Powers
240980,Voting
182874,Action Drafting
182874,Contracts
182874,Dice Rolling
182874,End Game Bonuses
182874,Hand Management
182874,Set Collection
182874,Turn Order: Progressive
182874,Variable Set-up
161533,Area Majority / Influence
161533,Hand Management
161533,Multi-Use Cards
161533,Open Drafting
161533,Set Collection
161533,Solo / Solitaire Game
161533,Tile Placement
221107,Action Points
221107,Cooperative Game
221107,Hand Management
221107,Legacy Game
221107,Pick-up and Deliver
221107,Point to Point Movement
221107,Scenario / Mission / Campaign Game
221107,Set Collection
221107,Tags
221107,Trading
221107,Variable Player Powers
255984,Action Points
255984,Cooperative Game
255984,Events
255984,Hand Management
255984,Narrative Choice / Paragraph
255984,Push Your Luck
255984,Scenario / Mission / Campaign Game
255984,Solo / Solitaire Game
255984,Storytelling
371942,Action Drafting
371942,Area Movement
371942,Dice Rolling
371942,End Game Bonuses
371942,Income
371942,Melding and Splaying
371942,Multi-Use Cards
371942,Open Drafting
371942,Race
371942,Resource Queue
371942,Solo / Solitaire Game
371942,Variable Set-up
371942,Worker Placement
371942,Worker Placement with Dice Workers
126163,Bias
126163,End Game Bonuses
126163,Once-Per-Game Abilities
126163,Track Movement
126163,Turn Order: Claim Action
126163,Worker Placement
2651,Auction / Bidding
2651,Auction: Turn Order Until Pass
2651,Catch the Leader
2651,Income
2651,Market
2651,Network and Route Building
2651,Turn Order: Stat-Based
2651,Variable Set-up
216132,Commodity Speculation
216132,Contracts
216132,Hexagon Grid
216132,Income
216132,Market
216132,Modular Board
216132,Network and Route Building
216132,Solo / Solitaire Game
216132,Turn Order: Pass Order
216132,Variable Player Powers
205059,Area Movement
205059,Cooperative Game
205059,Dice Rolling
205059,Hand Management
205059,Map Addition
205059,Modular Board
205059,Role Playing
205059,Scenario / Mission / Campaign Game
205059,Solo / Solitaire Game
205059,Stat Check Resolution
205059,Traitor Game
205059,Variable Player Powers
380607,"Deck, Bag, and Pool Building"
380607,Hand Management
380607,Ownership
380607,Set Collection
380607,Solo / Solitaire Game
380607,Track Movement
380607,Variable Set-up
244521,Catch the Leader
244521,"Deck, Bag, and Pool Building"
244521,Delayed Purchase
244521,Dice Rolling
244521,Die Icon Resolution
244521,Events
244521,Neighbor Scope
244521,Push Your Luck
244521,Score-and-Reset Game
244521,Simultaneous Action Selection
244521,Track Movement
244521,Variable Set-up
266810,End Game Bonuses
266810,Market
266810,Open Drafting
266810,Solo / Solitaire Game
266810,Worker Placement
266810,"Worker Placement, Different Worker Types"
367966,Action Points
367966,Action Retrieval
367966,Chaining
367966,Cooperative Game
367966,End Game Bonuses
367966,Grid Movement
367966,Map Addition
367966,Modular Board
367966,Scenario / Mission / Campaign Game
367966,Solo / Solitaire Game
367966,Tech Trees / Tech Tracks
367966,Variable Set-up
35677,Automatic Resource Growth
35677,End Game Bonuses
35677,Increase Value of Unchosen Resources
35677,Loans
35677,Ownership
35677,Solo / Solitaire Game
35677,Worker Placement
125153,Commodity Speculation
125153,Contracts
125153,Investment
125153,Open Drafting
125153,Point to Point Movement
125153,Resource to Move
125153,Set Collection
125153,Solo / Solitaire Game
125153,Victory Points as a Resource
125153,Worker Placement
125153,"Worker Placement, Different Worker Types"
124742,Action Points
124742,Deck Construction
124742,Hand Management
124742,Race
124742,Secret Unit Deployment
124742,Take That
124742,Variable Player Powers
200680,Enclosure
200680,Hand Management
200680,Worker Placement
200680,Advantage Token
200680,Automatic Resource Growth
200680,Closed Drafting
200680,Increase Value of Unchosen Resources
200680,Solo / Solitaire Game
200680,Team-Based Game
200680,Turn Order: Claim Action
200680,Variable Player Powers
337627,Command Cards
337627,Cooperative Game
337627,Events
337627,Grid Movement
337627,Hand Management
337627,Hexagon Grid
337627,Modular Board
337627,Solo / Solitaire Game
337627,Variable Player Powers
164153,Dice Rolling
164153,Die Icon Resolution
164153,Grid Movement
164153,Line of Sight
164153,Modular Board
164153,Role Playing
164153,Scenario / Mission / Campaign Game
164153,Solo / Solitaire Game
164153,Square Grid
164153,Team-Based Game
164153,Variable Player Powers
276025,Contracts
276025,End Game Bonuses
276025,Events
276025,Hand Management
276025,Income
276025,Movement Points
276025,Multi-Use Cards
276025,Narrative Choice / Paragraph
276025,Point to Point Movement
276025,Scenario / Mission / Campaign Game
276025,Set Collection
276025,Solo / Solitaire Game
276025,Stock Holding
276025,Tech Trees / Tech Tracks
276025,Track Movement
276025,Variable Set-up
366161,Dice Rolling
366161,End Game Bonuses
366161,Hand Management
366161,Open Drafting
366161,Push Your Luck
366161,Set Collection
366161,Solo / Solitaire Game
322289,Contracts
322289,Ownership
322289,Pick-up and Deliver
322289,Point to Point Movement
322289,Set Collection
322289,Solo / Solitaire Game
322289,Turn Order: Claim Action
322289,Variable Set-up
322289,Worker Placement
322289,"Worker Placement, Different Worker Types"
209010,Action Queue
209010,Bias
209010,Cooperative Game
209010,Dice Rolling
209010,Modular Board
209010,Open Drafting
209010,Programmed Movement
209010,Role Playing
209010,Variable Player Powers
332772,"Deck, Bag, and Pool Building"
332772,Hexagon Grid
332772,Map Addition
332772,Network and Route Building
332772,Open Drafting
332772,Scenario / Mission / Campaign Game
332772,Tech Trees / Tech Tracks
332772,Variable Player Powers
436217,Action Points
436217,Cooperative Game
436217,Dice Rolling
436217,Hand Management
436217,Set Collection
436217,Solo / Solitaire Game
436217,Tags
436217,Variable Player Powers
284083,Communication Limits
284083,Cooperative Game
284083,Hand Management
284083,Scenario / Mission / Campaign Game
284083,Trick-taking
28143,End Game Bonuses
28143,Follow
28143,Hand Management
28143,Income
28143,Market
28143,Multi-Use Cards
28143,Simultaneous Action Selection
28143,Tags
28143,Variable Phase Order
55690,Cooperative Game
55690,Critical Hits and Failures
55690,Dice Rolling
55690,Events
55690,Grid Movement
55690,Narrative Choice / Paragraph
55690,Paper-and-Pencil
55690,Pattern Building
55690,Role Playing
55690,Scenario / Mission / Campaign Game
55690,Solo / Solitaire Game
55690,Square Grid
55690,Storytelling
55690,Tech Trees / Tech Tracks
157354,Auction / Bidding
157354,Constrained Bidding
157354,End Game Bonuses
157354,Hidden Victory Points
157354,Mancala
157354,Modular Board
157354,Set Collection
157354,Square Grid
157354,Take That
157354,Turn Order: Auction
157354,Variable Player Powers
157354,Variable Set-up
157354,Victory Points as a Resource
277659,Dice Rolling
277659,Hand Management
277659,Pick-up and Deliver
277659,Push Your Luck
277659,Solo / Solitaire Game
277659,Variable Player Powers
277659,Variable Set-up
230802,Chaining
230802,End Game Bonuses
230802,Grid Coverage
230802,Open Drafting
230802,Pattern Building
230802,Set Collection
230802,Square Grid
230802,Tile Placement
230802,Turn Order: Claim Action
413246,Communication Limits
413246,Cooperative Game
413246,Deduction
413246,Memory
413246,Once-Per-Game Abilities
413246,Real-Time
413246,Scenario / Mission / Campaign Game
413246,Sudden Death Ending
201808,Action Points
201808,"Deck, Bag, and Pool Building"
201808,Delayed Purchase
201808,End Game Bonuses
201808,Movement Points
201808,Open Drafting
201808,Player Elimination
201808,Point to Point Movement
201808,Push Your Luck
201808,Variable Set-up
359871,Area Majority / Influence
359871,Area Movement
359871,Campaign / Battle Card Driven
359871,Dice Rolling
359871,Die Icon Resolution
359871,Hand Management
359871,Negotiation
359871,Resource to Move
359871,Take That
359871,Trick-taking
359871,Turn Order: Claim Action
359871,Variable Player Powers
93,Action Drafting
93,Area Majority / Influence
93,Auction / Bidding
93,Hand Management
93,Open Drafting
93,Selection Order Bid
93,Simultaneous Action Selection
93,Take That
93,Turn Order: Auction
159675,Automatic Resource Growth
159675,Highest-Lowest Scoring
159675,Income
159675,Set Collection
159675,Solo / Solitaire Game
159675,Turn Order: Claim Action
159675,Turn Order: Progressive
159675,Worker Placement
256916,Action Retrieval
256916,Advantage Token
256916,Auction: Dutch
256916,Communication Limits
256916,"Deck, Bag, and Pool Building"
256916,Hand Management
256916,Investment
256916,Movement Points
256916,Network and Route Building
256916,Open Drafting
256916,Point to Point Movement
256916,Set Collection
256916,Team-Based Game
256916,Variable Set-up
72125,Dice Rolling
72125,Grid Movement
72125,Hexagon Grid
72125,Hot Potato
72125,Map Addition
72125,Modular Board
72125,Player Elimination
72125,Tile Placement
72125,Variable Phase Order
72125,Variable Player Powers
291453,Hand Management
291453,Ladder Climbing
291453,Score-and-Reset Game
110327,Contracts
110327,Hidden Roles
110327,Increase Value of Unchosen Resources
110327,Ownership
110327,Set Collection
110327,Take That
110327,Turn Order: Claim Action
110327,Worker Placement
191189,Chit-Pull System
191189,Cooperative Game
191189,"Deck, Bag, and Pool Building"
191189,Delayed Purchase
191189,Hand Management
191189,Open Drafting
191189,Solo / Solitaire Game
191189,Variable Phase Order
191189,Variable Player Powers
191189,Variable Set-up
359609,Action Points
359609,Area Movement
359609,Communication Limits
359609,Cooperative Game
359609,Deck Construction
359609,Events
359609,Hand Management
359609,Map Deformation
359609,Modular Board
359609,Narrative Choice / Paragraph
359609,Role Playing
359609,Scenario / Mission / Campaign Game
359609,Solo / Solitaire Game
359609,Stat Check Resolution
359609,Variable Player Powers
229853,Area Movement
229853,End Game Bonuses
229853,Events
229853,Grid Coverage
229853,Layering
229853,Ownership
229853,Rondel
229853,Score-and-Reset Game
229853,Set Collection
229853,Solo / Solitaire Game
229853,Square Grid
229853,Tile Placement
229853,Track Movement
229853,Variable Set-up
229853,Victory Points as a Resource
229853,Worker Placement with Dice Workers
364073,Contracts
364073,Open Drafting
364073,Race
364073,Set Collection
317985,Area Majority / Influence
317985,Contracts
317985,End Game Bonuses
317985,Events
317985,Income
317985,Point to Point Movement
317985,Tech Trees / Tech Tracks
317985,Worker Placement
62219,Action Drafting
62219,Action Queue
62219,Area Majority / Influence
62219,End Game Bonuses
62219,Grid Movement
62219,Hexagon Grid
62219,Map Addition
62219,Take That
62219,Tile Placement
62219,Turn Order: Claim Action
62219,Variable Player Powers
62219,Worker Placement
12,Auction / Bidding
12,Auction: Once Around
12,Closed Economy Auction
12,Constrained Bidding
12,Hidden Victory Points
12,Push Your Luck
12,Set Collection
279537,Action Points
279537,Deduction
